"Name","Commuting"
"Description","The share of individuals who worked in the last week (excluding those who work at home), by the reported time it usually takes to get from home to work."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08012 (2012-2019, 2021); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","Please note, we do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years."

Location,Travel Time,TimeFrame,DataFormat,Data,Fips
Williamsbridge,Under 30 minutes,2021,Percent,0.30836,212
Throgs Neck,Under 30 minutes,2021,Percent,0.31863,210
Pelham Parkway,Under 30 minutes,2021,Percent,0.33567,211
Morrisania,Under 30 minutes,2021,Percent,0.2841,203
East Tremont,Under 30 minutes,2021,Percent,0.2841,206
Bedford Park,Under 30 minutes,2021,Percent,0.22798,207
University Heights,Under 30 minutes,2021,Percent,0.23023,205
Concourse/Highbridge,Under 30 minutes,2021,Percent,0.2533,204
Unionport/Soundview,Under 30 minutes,2021,Percent,0.27303,209
Mott Haven,Under 30 minutes,2021,Percent,0.26942,201
Hunts Point,Under 30 minutes,2021,Percent,0.26942,202
Washington Heights,Under 30 minutes,2021,Percent,0.27045,112
Manhattanville,Under 30 minutes,2021,Percent,0.37123,109
Central Harlem,Under 30 minutes,2021,Percent,0.26291,110
East Harlem,Under 30 minutes,2021,Percent,0.35319,111
Upper East Side,Under 30 minutes,2021,Percent,0.5072,108
Upper West Side,Under 30 minutes,2021,Percent,0.51681,107
Chelsea/Clinton,Under 30 minutes,2021,Percent,0.56862,104
Midtown Business District,Under 30 minutes,2021,Percent,0.56862,105
Murray Hill/Stuyvesant,Under 30 minutes,2021,Percent,0.52243,106
Lower East Side,Under 30 minutes,2021,Percent,0.44225,103
Battery Park/Tribeca,Under 30 minutes,2021,Percent,0.59025,101
Greenwich Village,Under 30 minutes,2021,Percent,0.59025,102
Tottenville,Under 30 minutes,2021,Percent,0.40592,503
South Beach,Under 30 minutes,2021,Percent,0.34849,502
St. George,Under 30 minutes,2021,Percent,0.44194,501
Williamsburg/Greenpoint,Under 30 minutes,2021,Percent,0.35864,301
Bushwick,Under 30 minutes,2021,Percent,0.21684,304
Bedford Stuyvesant,Under 30 minutes,2021,Percent,0.31349,303
Fort Greene/Brooklyn Hts,Under 30 minutes,2021,Percent,0.36056,302
Park Slope,Under 30 minutes,2021,Percent,0.31613,306
Crown Heights North,Under 30 minutes,2021,Percent,0.21091,308
Brownsville,Under 30 minutes,2021,Percent,0.2068,316
East New York,Under 30 minutes,2021,Percent,0.19069,305
Canarsie,Under 30 minutes,2021,Percent,0.27398,318
East Flatbush,Under 30 minutes,2021,Percent,0.2017,317
Crown Heights South,Under 30 minutes,2021,Percent,0.26665,309
Sunset Park,Under 30 minutes,2021,Percent,0.2995,307
Bay Ridge,Under 30 minutes,2021,Percent,0.27222,310
Borough Park,Under 30 minutes,2021,Percent,0.42434,312
Flatbush/Midwood,Under 30 minutes,2021,Percent,0.24066,314
Sheepshead Bay,Under 30 minutes,2021,Percent,0.35256,315
Bensonhurst,Under 30 minutes,2021,Percent,0.34126,311
Coney Island,Under 30 minutes,2021,Percent,0.35558,313
Astoria,Under 30 minutes,2021,Percent,0.32631,401
Jackson Heights,Under 30 minutes,2021,Percent,0.25722,403
Flushing,Under 30 minutes,2021,Percent,0.37418,407
Bayside,Under 30 minutes,2021,Percent,0.38757,411
Queens Village,Under 30 minutes,2021,Percent,0.30179,413
Fresh Meadows/Briarwood,Under 30 minutes,2021,Percent,0.37113,408
Elmhurst/Corona,Under 30 minutes,2021,Percent,0.23421,404
Rego Park/Forest Hills,Under 30 minutes,2021,Percent,0.23154,406
Sunnyside/Woodside,Under 30 minutes,2021,Percent,0.35489,402
Ridgewood/Glendale,Under 30 minutes,2021,Percent,0.24648,405
Woodhaven,Under 30 minutes,2021,Percent,0.26742,409
Jamaica/St. Albans,Under 30 minutes,2021,Percent,0.24452,412
Howard Beach,Under 30 minutes,2021,Percent,0.2501,410
The Rockaways,Under 30 minutes,2021,Percent,0.34866,414
Bronx,Under 30 minutes,2021,Percent,0.28466,36005
Brooklyn,Under 30 minutes,2021,Percent,0.28814,36047
Manhattan,Under 30 minutes,2021,Percent,0.44729,36061
Queens,Under 30 minutes,2021,Percent,0.29713,36081
Staten Island,Under 30 minutes,2021,Percent,0.40475,36085
New York City,Under 30 minutes,2021,Percent,0.32613,3651000
Riverdale,30 to 59 minutes,2021,Percent,0.37619,208
Williamsbridge,30 to 59 minutes,2021,Percent,0.36541,212
Throgs Neck,30 to 59 minutes,2021,Percent,0.34187,210
Pelham Parkway,30 to 59 minutes,2021,Percent,0.33837,211
Morrisania,30 to 59 minutes,2021,Percent,0.42845,203
East Tremont,30 to 59 minutes,2021,Percent,0.42845,206
Bedford Park,30 to 59 minutes,2021,Percent,0.38482,207
University Heights,30 to 59 minutes,2021,Percent,0.54665,205
Concourse/Highbridge,30 to 59 minutes,2021,Percent,0.47848,204
Unionport/Soundview,30 to 59 minutes,2021,Percent,0.38257,209
Mott Haven,30 to 59 minutes,2021,Percent,0.4726,201
Hunts Point,30 to 59 minutes,2021,Percent,0.4726,202
Washington Heights,30 to 59 minutes,2021,Percent,0.49461,112
Manhattanville,30 to 59 minutes,2021,Percent,0.44499,109
Central Harlem,30 to 59 minutes,2021,Percent,0.56608,110
East Harlem,30 to 59 minutes,2021,Percent,0.45284,111
Upper East Side,30 to 59 minutes,2021,Percent,0.38984,108
Upper West Side,30 to 59 minutes,2021,Percent,0.41092,107
Chelsea/Clinton,30 to 59 minutes,2021,Percent,0.34824,104
Midtown Business District,30 to 59 minutes,2021,Percent,0.34824,105
Murray Hill/Stuyvesant,30 to 59 minutes,2021,Percent,0.45313,106
Lower East Side,30 to 59 minutes,2021,Percent,0.45506,103
Battery Park/Tribeca,30 to 59 minutes,2021,Percent,0.35922,101
Greenwich Village,30 to 59 minutes,2021,Percent,0.35922,102
Tottenville,30 to 59 minutes,2021,Percent,0.30046,503
South Beach,30 to 59 minutes,2021,Percent,0.33914,502
St. George,30 to 59 minutes,2021,Percent,0.26413,501
Williamsburg/Greenpoint,30 to 59 minutes,2021,Percent,0.49997,301
Bushwick,30 to 59 minutes,2021,Percent,0.58371,304
Bedford Stuyvesant,30 to 59 minutes,2021,Percent,0.46241,303
Fort Greene/Brooklyn Hts,30 to 59 minutes,2021,Percent,0.53106,302
Park Slope,30 to 59 minutes,2021,Percent,0.51543,306
Crown Heights North,30 to 59 minutes,2021,Percent,0.51144,308
Brownsville,30 to 59 minutes,2021,Percent,0.46388,316
East New York,30 to 59 minutes,2021,Percent,0.41637,305
Canarsie,30 to 59 minutes,2021,Percent,0.36052,318
East Flatbush,30 to 59 minutes,2021,Percent,0.44806,317
Crown Heights South,30 to 59 minutes,2021,Percent,0.48538,309
Sunset Park,30 to 59 minutes,2021,Percent,0.48078,307
Bay Ridge,30 to 59 minutes,2021,Percent,0.41934,310
Borough Park,30 to 59 minutes,2021,Percent,0.37764,312
Flatbush/Midwood,30 to 59 minutes,2021,Percent,0.4427,314
Sheepshead Bay,30 to 59 minutes,2021,Percent,0.36286,315
Bensonhurst,30 to 59 minutes,2021,Percent,0.37456,311
Coney Island,30 to 59 minutes,2021,Percent,0.33725,313
Astoria,30 to 59 minutes,2021,Percent,0.52678,401
Jackson Heights,30 to 59 minutes,2021,Percent,0.50363,403
Flushing,30 to 59 minutes,2021,Percent,0.37089,407
Bayside,30 to 59 minutes,2021,Percent,0.34849,411
Queens Village,30 to 59 minutes,2021,Percent,0.36876,413
Fresh Meadows/Briarwood,30 to 59 minutes,2021,Percent,0.38897,408
Elmhurst/Corona,30 to 59 minutes,2021,Percent,0.55553,404
Rego Park/Forest Hills,30 to 59 minutes,2021,Percent,0.45442,406
Sunnyside/Woodside,30 to 59 minutes,2021,Percent,0.51894,402
Ridgewood/Glendale,30 to 59 minutes,2021,Percent,0.44813,405
Woodhaven,30 to 59 minutes,2021,Percent,0.45454,409
Jamaica/St. Albans,30 to 59 minutes,2021,Percent,0.40408,412
Howard Beach,30 to 59 minutes,2021,Percent,0.45656,410
The Rockaways,30 to 59 minutes,2021,Percent,0.32238,414
Bronx,30 to 59 minutes,2021,Percent,0.41119,36005
Brooklyn,30 to 59 minutes,2021,Percent,0.44278,36047
Manhattan,30 to 59 minutes,2021,Percent,0.43201,36061
Queens,30 to 59 minutes,2021,Percent,0.43623,36081
Staten Island,30 to 59 minutes,2021,Percent,0.29682,36085
New York City,30 to 59 minutes,2021,Percent,0.4246,3651000
Riverdale,An hour or more,2021,Percent,0.25364,208
Williamsbridge,An hour or more,2021,Percent,0.32623,212
Throgs Neck,An hour or more,2021,Percent,0.33949,210
Pelham Parkway,An hour or more,2021,Percent,0.32595,211
Morrisania,An hour or more,2021,Percent,0.28745,203
East Tremont,An hour or more,2021,Percent,0.28745,206
Bedford Park,An hour or more,2021,Percent,0.3872,207
University Heights,An hour or more,2021,Percent,0.22312,205
Concourse/Highbridge,An hour or more,2021,Percent,0.26822,204
Unionport/Soundview,An hour or more,2021,Percent,0.3444,209
Mott Haven,An hour or more,2021,Percent,0.25798,201
Hunts Point,An hour or more,2021,Percent,0.25798,202
Washington Heights,An hour or more,2021,Percent,0.23493,112
Manhattanville,An hour or more,2021,Percent,0.18378,109
Central Harlem,An hour or more,2021,Percent,0.17102,110
East Harlem,An hour or more,2021,Percent,0.19396,111
Upper East Side,An hour or more,2021,Percent,0.10295,108
Upper West Side,An hour or more,2021,Percent,0.07226,107
Chelsea/Clinton,An hour or more,2021,Percent,0.08314,104
Midtown Business District,An hour or more,2021,Percent,0.08314,105
Murray Hill/Stuyvesant,An hour or more,2021,Percent,0.02444,106
Lower East Side,An hour or more,2021,Percent,0.10268,103
Battery Park/Tribeca,An hour or more,2021,Percent,0.05053,101
Greenwich Village,An hour or more,2021,Percent,0.05053,102
Tottenville,An hour or more,2021,Percent,0.29362,503
South Beach,An hour or more,2021,Percent,0.31237,502
St. George,An hour or more,2021,Percent,0.29392,501
Williamsburg/Greenpoint,An hour or more,2021,Percent,0.14139,301
Bushwick,An hour or more,2021,Percent,0.19945,304
Bedford Stuyvesant,An hour or more,2021,Percent,0.2241,303
Fort Greene/Brooklyn Hts,An hour or more,2021,Percent,0.10838,302
Park Slope,An hour or more,2021,Percent,0.16844,306
Crown Heights North,An hour or more,2021,Percent,0.27765,308
Brownsville,An hour or more,2021,Percent,0.32932,316
East New York,An hour or more,2021,Percent,0.39293,305
Canarsie,An hour or more,2021,Percent,0.3655,318
East Flatbush,An hour or more,2021,Percent,0.35024,317
Crown Heights South,An hour or more,2021,Percent,0.24797,309
Sunset Park,An hour or more,2021,Percent,0.21973,307
Bay Ridge,An hour or more,2021,Percent,0.30844,310
Borough Park,An hour or more,2021,Percent,0.19802,312
Flatbush/Midwood,An hour or more,2021,Percent,0.31665,314
Sheepshead Bay,An hour or more,2021,Percent,0.28458,315
Bensonhurst,An hour or more,2021,Percent,0.28418,311
Coney Island,An hour or more,2021,Percent,0.30717,313
Astoria,An hour or more,2021,Percent,0.14691,401
Jackson Heights,An hour or more,2021,Percent,0.23914,403
Flushing,An hour or more,2021,Percent,0.25493,407
Bayside,An hour or more,2021,Percent,0.26394,411
Queens Village,An hour or more,2021,Percent,0.32945,413
Fresh Meadows/Briarwood,An hour or more,2021,Percent,0.23991,408
Elmhurst/Corona,An hour or more,2021,Percent,0.21027,404
Rego Park/Forest Hills,An hour or more,2021,Percent,0.31404,406
Sunnyside/Woodside,An hour or more,2021,Percent,0.12618,402
Ridgewood/Glendale,An hour or more,2021,Percent,0.30539,405
Woodhaven,An hour or more,2021,Percent,0.27804,409
Jamaica/St. Albans,An hour or more,2021,Percent,0.3514,412
Howard Beach,An hour or more,2021,Percent,0.29334,410
The Rockaways,An hour or more,2021,Percent,0.32897,414
Bronx,An hour or more,2021,Percent,0.30416,36005
Brooklyn,An hour or more,2021,Percent,0.26909,36047
Manhattan,An hour or more,2021,Percent,0.1207,36061
Queens,An hour or more,2021,Percent,0.26664,36081
Staten Island,An hour or more,2021,Percent,0.29843,36085
New York City,An hour or more,2021,Percent,0.24926,3651000
