119,138,544
92,138,7094
37,138,3504
50,132,6847
258,132,3933
122,132,1316
77,138,311
136,132,469
1,138,913
84,132,133
252,138,1962
18,138,437
14,138,1417
158,132,6876
119,132,740
203,138,276
239,138,19438
55,132,1566
9,138,772
237,138,16502
46,132,225
72,138,506
250,132,611
198,132,5283
6,132,230
88,132,4069
164,138,28559
127,138,1488
140,138,10786
15,132,1394
256,132,8856
159,138,581
175,138,636
132,138,12373
94,138,217
126,138,380
137,1,1
150,138,116
201,138,159
148,138,7642
10,138,1266
34,138,197
30,132,221
236,132,17486
128,132,110
181,138,8302
188,138,2373
209,138,3458
236,138,20693
184,132,51
163,1,3
100,138,15384
208,132,1346
168,138,1557
121,138,1063
76,132,7161
214,138,29
43,138,4533
213,138,866
135,132,3318
54,132,1042
265,138,16694
100,132,16884
127,132,1994
169,138,480
86,138,219
64,132,2059
56,132,2798
126,132,413
170,132,26857
16,138,1316
209,132,4452
178,132,975
230,132,68314
102,138,730
75,138,6215
161,132,28340
12,138,52
79,138,11715
163,138,24689
147,138,323
22,132,1706
95,138,6387
19,138,462
1,1,3852
204,138,10
260,138,3745
28,138,1280
164,132,36267
106,132,1676
60,132,358
207,132,92
75,132,6470
232,132,5459
79,132,15137
225,138,2823
19,132,2440
239,132,19679
185,138,513
245,132,142
169,132,780
115,132,203
180,138,203
187,138,17
234,1,2
16,132,2160
10,132,22360
141,132,14860
97,138,3767
39,138,655
165,138,574
172,138,18
4,138,2023
201,132,1712
98,138,1256
219,132,10968
252,132,2303
57,138,139
90,138,11536
62,138,1591
53,138,1490
171,132,1600
109,138,13
114,132,5376
24,138,2352
259,132,985
63,138,443
9,132,1368
29,132,1826
28,132,5970
39,132,7164
217,132,1462
202,138,1768
253,132,216
263,138,15920
97,132,5912
190,132,443
155,138,331
176,132,112
51,138,791
68,132,24003
118,132,315
156,132,135
17,132,7126
180,132,2684
218,138,367
214,132,207
206,132,298
32,132,541
96,132,439
73,132,699
229,132,14267
163,132,28395
151,132,7494
254,138,607
194,138,245
76,138,818
74,138,5504
146,132,2918
250,138,374
205,138,791
146,138,3106
110,132,1
229,138,15688
116,132,3611
238,138,14626
230,1,5
40,138,2386
93,138,1282
187,132,92
145,132,9120
173,138,1038
263,132,13561
154,132,2104
191,138,816
175,132,1543
125,138,4718
161,1,6
64,138,762
59,132,11
211,138,4132
141,1,1
262,132,11836
45,132,2391
238,132,16048
220,132,1734
106,138,1098
115,138,26
80,132,6666
205,132,6246
6,138,33
49,138,4875
195,138,876
94,132,312
65,132,6605
112,138,7319
159,132,706
26,138,784
264,138,2154
132,132,76006
49,132,8640
162,132,22765
27,132,433
6,1,4
143,138,7528
141,138,16469
18,132,815
200,138,1306
23,132,303
242,132,666
124,138,253
247,132,988
242,138,541
83,138,1241
258,138,649
90,132,14787
160,138,1495
255,138,8569
188,132,6676
244,132,4792
17,138,3756
52,138,1637
3,132,756
21,138,154
129,138,7466
157,138,1292
125,132,6447
70,138,4431
256,138,5504
135,138,1745
20,138,455
59,138,17
58,138,200
42,132,5448
8,132,57
182,138,495
151,138,6317
248,138,331
174,138,371
109,132,138
240,132,100
5,132,82
221,138,38
35,132,2512
217,138,1178
111,132,27
206,138,44
145,138,7220
77,132,1577
70,132,3588
56,138,1359
96,138,111
197,138,1183
84,138,7
228,132,2676
108,138,99
183,138,193
35,138,501
86,132,3441
191,132,3779
57,132,158
112,132,10985
222,138,156
241,138,550
63,132,3051
138,1,7
113,132,10126
61,138,4924
192,132,943
13,138,5801
33,138,5982
167,132,636
26,132,2785
7,132,8080
44,132,61
31,138,70
118,138,29
197,132,6278
261,138,6418
111,138,23
69,138,1076
140,132,9194
136,138,326
89,138,2614
218,132,5218
93,132,5741
185,132,796
262,138,14239
189,138,3559
247,138,685
20,1,1
117,138,116
3,138,449
148,132,13756
