PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
179,Queens,Old Astoria,37530,781435,3009,6783
180,Queens,Ozone Park,2313,370817,117,795
181,Brooklyn,Park Slope,19967,2187516,3396,13151
182,Bronx,Parkchester,3917,576101,289,1822
183,Bronx,Pelham Bay,1778,296546,94,459
184,Bronx,Pelham Bay Park,202,51396,17,81
185,Bronx,Pelham Parkway,5519,695627,216,1119
186,Manhattan,Penn Station/Madison Sq West,13897,1601562,13,1305113
187,Staten Island,Port Richmond,21204,151930,3,27
188,Brooklyn,Prospect-Lefferts Gardens,26206,1704992,1131,5910
189,Brooklyn,Prospect Heights,7431,812832,687,4394
190,Brooklyn,Prospect Park,1462,151397,229,835
191,Queens,Queens Village,6239,637978,461,2735
192,Queens,Queensboro Hill,10440,285194,199,643
193,Queens,Queensbridge/Ravenswood,9289,324911,4691,30155
194,Manhattan,Randalls Island,1007,38178,85,1523
195,Brooklyn,Red Hook,5305,428005,2360,4586
196,Queens,Rego Park,13446,556771,4816,2562
197,Queens,Richmond Hill,9462,976401,581,4813
198,Queens,Ridgewood,10473,1375416,380,1696
200,Bronx,Riverdale/North Riverdale/Fieldston,2624,440180,125,960
201,Queens,Rockaway Park,3432,148845,28,598
202,Manhattan,Roosevelt Island,2914,165077,141,1782
203,Queens,Rosedale,2828,419472,71,1757
205,Queens,Saint Albans,7881,925204,208,3478
206,Staten Island,Saint George/New Brighton,86938,452019,51,51
207,Queens,Saint Michaels Cemetery/Woodside,178,39093,301,3463
208,Bronx,Schuylerville/Edgewater Park,4333,715220,184,1208
209,Manhattan,Seaport,7364,564134,21,72403
210,Brooklyn,Sheepshead Bay,25414,692702,2956,1386
211,Manhattan,SoHo,11433,1426142,3,288915
212,Bronx,Soundview/Bruckner,4841,576979,492,1023
213,Bronx,Soundview/Castle Hill,8448,1044143,345,2980
214,Staten Island,South Beach/Dongan Hills,43935,178929,4,194
215,Queens,South Jamaica,7361,716641,486,6051
216,Queens,South Ozone Park,12413,1501785,768,7487
217,Brooklyn,South Williamsburg,4042,362963,225,1380
218,Queens,Springfield Gardens North,5184,500918,165,3187
219,Queens,Springfield Gardens South,3300,429818,120,4039
220,Bronx,Spuyten Duyvil/Kingsbridge,3876,785606,485,1716
221,Staten Island,Stapleton,79001,307380,5,65
222,Brooklyn,Starrett City,10435,269644,126,1867
223,Queens,Steinway,34483,1084835,5135,7728
224,Manhattan,Stuy Town/Peter Cooper Village,7433,550868,2,49842
225,Brooklyn,Stuyvesant Heights,24059,1863556,1019,5009
