PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
179,Queens,Old Astoria,25317,617637,1181,7459
180,Queens,Ozone Park,2342,295861,63,1426
181,Brooklyn,Park Slope,14048,1704275,1836,14442
182,Bronx,Parkchester,6605,456547,129,2973
183,Bronx,Pelham Bay,2034,227458,28,665
184,Bronx,Pelham Bay Park,720,45307,9,139
185,Bronx,Pelham Parkway,7942,551880,90,1279
186,Manhattan,Penn Station/Madison Sq West,6688,1137416,434,989804
187,Staten Island,Port Richmond,18515,126299,1,27
188,Brooklyn,Prospect-Lefferts Gardens,19779,1347240,434,11244
189,Brooklyn,Prospect Heights,4734,649473,349,5175
190,Brooklyn,Prospect Park,877,111339,96,959
191,Queens,Queens Village,12177,502330,162,3371
192,Queens,Queensboro Hill,8374,226305,93,813
193,Queens,Queensbridge/Ravenswood,7962,254108,3135,16914
194,Manhattan,Randalls Island,886,31979,40,1488
195,Brooklyn,Red Hook,4014,332044,1390,6221
196,Queens,Rego Park,14401,437411,2209,3231
197,Queens,Richmond Hill,11884,768132,376,7314
198,Queens,Ridgewood,8426,1084783,190,3165
200,Bronx,Riverdale/North Riverdale/Fieldston,2951,347601,65,1284
201,Queens,Rockaway Park,3529,127900,11,984
202,Manhattan,Roosevelt Island,1922,125365,158,1882
203,Queens,Rosedale,5209,338359,48,1963
204,Staten Island,Rossville/Woodrow,4688,45004,1,11
205,Queens,Saint Albans,15273,734208,180,3937
206,Staten Island,Saint George/New Brighton,66936,365123,9,41
207,Queens,Saint Michaels Cemetery/Woodside,186,30576,124,2241
208,Bronx,Schuylerville/Edgewater Park,6559,571240,58,1688
209,Manhattan,Seaport,3642,418826,13,64588
210,Brooklyn,Sheepshead Bay,33662,538276,1688,3040
211,Manhattan,SoHo,4899,1022393,116,246738
212,Bronx,Soundview/Bruckner,6146,457057,200,1856
213,Bronx,Soundview/Castle Hill,11640,834447,141,4080
214,Staten Island,South Beach/Dongan Hills,37582,145618,1,91
215,Queens,South Jamaica,12817,559880,239,6316
216,Queens,South Ozone Park,14342,1156813,411,10980
217,Brooklyn,South Williamsburg,2198,293743,140,2017
218,Queens,Springfield Gardens North,10479,384946,126,3610
219,Queens,Springfield Gardens South,5332,335321,120,5048
220,Bronx,Spuyten Duyvil/Kingsbridge,5280,609029,113,1955
221,Staten Island,Stapleton,67700,246445,3,106
222,Brooklyn,Starrett City,12754,213342,74,3869
223,Queens,Steinway,24397,860682,3348,8082
224,Manhattan,Stuy Town/Peter Cooper Village,3214,400341,3,46769
225,Brooklyn,Stuyvesant Heights,17228,1435612,440,9478
226,Queens,Sunnyside,14051,1057779,1386,27041
227,Brooklyn,Sunset Park East,14900,416419,69,1416
228,Brooklyn,Sunset Park West,9130,855577,230,3779
229,Manhattan,Sutton Place/Turtle Bay North,8472,1056488,15,527062
230,Manhattan,Times Sq/Theatre District,22411,2203614,120,1013386
231,Manhattan,TriBeCa/Civic Center,14892,2024493,76,411366
232,Manhattan,Two Bridges/Seward Park,9795,818245,17,48086
233,Manhattan,UN/Turtle Bay South,9271,1011879,33,355576
234,Manhattan,Union Sq,9411,1863843,96,804601
235,Bronx,University Heights/Morris Heights,8689,733964,175,3009
236,Manhattan,Upper East Side North,10571,1273017,3128,1239940
237,Manhattan,Upper East Side South,10883,1405730,50,1361147
238,Manhattan,Upper West Side North,7066,920632,66,575144
239,Manhattan,Upper West Side South,7254,1131254,32,828311
240,Bronx,Van Cortlandt Park,866,117021,19,231
241,Bronx,Van Cortlandt Village,5394,655351,110,2101
242,Bronx,Van Nest/Morris Park,15696,684914,224,2086
243,Manhattan,Washington Heights North,3948,945945,1116,7923
244,Manhattan,Washington Heights South,9111,1358109,11149,25280
245,Staten Island,West Brighton,30311,134837,1,38
