Zone,matched_demographic_region,PULocationID,TimeFrame,Data,match_score,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
freshkills park,park slope,99,2019.0,114043.0,86.0,99,Staten Island,freshkills park,918,5263,5,37
garment district,midtown business district,100,2019.0,55799.68867,86.0,100,Manhattan,garment district,176155,1535202,298,1727069
glendale,ridgewood/glendale,102,2019.0,165895.0,90.0,102,Queens,glendale,67370,513503,4750,2440
governor's island/ellis island/liberty island,coney island,105,2019.0,115277.0,86.0,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
greenwich village north,greenwich village,113,2019.0,98076.03099,95.0,113,Manhattan,greenwich village north,156572,1727813,250,1278135
greenwich village south,greenwich village,114,2019.0,98076.03099,95.0,114,Manhattan,greenwich village south,156404,1623273,88,1067554
heartland village/todt hill,greenwich village,118,2019.0,98076.03099,86.0,118,Staten Island,heartland village/todt hill,23052,208914,109,406
highbridge,concourse/highbridge,119,2019.0,140906.0,90.0,119,Bronx,highbridge,83119,808319,12303,5157
highbridge park,park slope,120,2019.0,114043.0,86.0,120,Manhattan,highbridge park,8163,21874,724,536
howard beach,howard beach,124,2019.0,118568.0,100.0,124,Queens,howard beach,22375,267762,3661,3569
hunts point,hunts point,126,2019.0,53365.84532,100.0,126,Bronx,hunts point,54238,608626,7476,2454
inwood hill park,park slope,128,2019.0,114043.0,86.0,128,Manhattan,inwood hill park,5439,53088,1077,818
jackson heights,jackson heights,129,2019.0,175275.0,100.0,129,Queens,jackson heights,239990,1727841,157669,43858
kips bay,sheepshead bay,137,2019.0,147401.0,86.0,137,Manhattan,kips bay,191370,1613054,1359,999892
lincoln square east,east harlem,142,2019.0,111452.0,86.0,142,Manhattan,lincoln square east,174285,1782875,369,2534595
long island city/hunters point,hunts point,145,2019.0,53365.84532,86.0,145,Queens,long island city/hunters point,140273,1562357,53666,108529
long island city/queens plaza,queens,146,2019.0,2253858.0,90.0,146,Queens,long island city/queens plaza,61943,602956,28213,75691
lower east side,lower east side,148,2019.0,167128.0,100.0,148,Manhattan,lower east side,248540,2718879,191,1034964
manhattan beach,manhattan,150,2019.0,1628706.0,90.0,150,Brooklyn,manhattan beach,28614,288166,5582,1707
manhattan valley,manhattan,151,2019.0,1628706.0,90.0,151,Manhattan,manhattan valley,84758,822026,701,740070
manhattanville,manhattanville,152,2019.0,132837.0,100.0,152,Manhattan,manhattanville,57572,557132,45774,83986
marble hill,murray hill/stuyvesant,153,2019.0,148482.0,86.0,153,Manhattan,marble hill,14721,218057,2956,1911
marine park/floyd bennett field,battery park/tribeca,154,2019.0,66437.96901,86.0,154,Brooklyn,marine park/floyd bennett field,1991,25814,530,586
marine park/mill basin,bedford park,155,2019.0,151684.0,86.0,155,Brooklyn,marine park/mill basin,57059,640898,13224,5356
meatpacking/west village west,greenwich village,158,2019.0,98076.03099,86.0,158,Manhattan,meatpacking/west village west,146024,1613667,29,846204
midtown center,midtown business district,161,2019.0,55799.68867,86.0,161,Manhattan,midtown center,372217,2956387,387,3453114
midtown east,midtown business district,162,2019.0,55799.68867,86.0,162,Manhattan,midtown east,267553,2332131,344,3048719
midtown north,midtown business district,163,2019.0,55799.68867,86.0,163,Manhattan,midtown north,189065,1896566,245,2259860
midtown south,midtown business district,164,2019.0,55799.68867,86.0,164,Manhattan,midtown south,242735,2558102,281,1963653
midwood,flatbush/midwood,165,2019.0,156866.0,90.0,165,Brooklyn,midwood,69800,668288,14738,6510
morrisania/melrose,morrisania,167,2019.0,84605.54904,90.0,167,Bronx,morrisania/melrose,89706,802828,12192,4256
mott haven/port morris,mott haven,168,2019.0,93458.15468,90.0,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
murray hill,murray hill/stuyvesant,170,2019.0,148482.0,90.0,170,Manhattan,murray hill,261846,2596247,946,2607781
murray hill-queens,queens,171,2019.0,2253858.0,90.0,171,Queens,murray hill-queens,67744,433010,4830,2686
new dorp/midland beach,east new york,172,2019.0,180811.0,86.0,172,Staten Island,new dorp/midland beach,12360,105687,60,71
north corona,crown heights north,173,2019.0,128327.0,86.0,173,Queens,north corona,117946,486208,17085,3687
ocean hill,murray hill/stuyvesant,177,2019.0,148482.0,86.0,177,Brooklyn,ocean hill,88592,964321,15968,6753
ocean parkway south,south beach,178,2019.0,138590.0,86.0,178,Brooklyn,ocean parkway south,22626,247485,3665,1810
old astoria,astoria,179,2019.0,166069.0,90.0,179,Queens,old astoria,110809,755998,38032,43642
ozone park,battery park/tribeca,180,2019.0,66437.96901,86.0,180,Queens,ozone park,26562,332194,2124,2183
park slope,park slope,181,2019.0,114043.0,100.0,181,Brooklyn,park slope,235912,2407999,117060,68533
pelham bay park,park slope,184,2019.0,114043.0,86.0,184,Bronx,pelham bay park,5687,43634,515,260
pelham parkway,pelham parkway,185,2019.0,125155.0,100.0,185,Bronx,pelham parkway,65054,619082,10120,2753
penn station/madison sq west,upper west side,186,2019.0,179682.0,86.0,186,Manhattan,penn station/madison sq west,151326,1959046,322,3029489
prospect park,battery park/tribeca,190,2019.0,66437.96901,86.0,190,Brooklyn,prospect park,14287,178566,5178,3557
queens village,queens village,191,2019.0,200660.0,100.0,191,Queens,queens village,42584,489462,9336,5123
queensboro hill,queens,192,2019.0,2253858.0,90.0,192,Queens,queensboro hill,43753,288646,5607,1653
queensbridge/ravenswood,queens,193,2019.0,2253858.0,90.0,193,Queens,queensbridge/ravenswood,43535,283372,23684,63842
rego park,rego park/forest hills,196,2019.0,105586.0,90.0,196,Queens,rego park,57431,510714,52533,9639
richmond hill,murray hill/stuyvesant,197,2019.0,148482.0,86.0,197,Queens,richmond hill,70230,835592,16977,9297
ridgewood,ridgewood/glendale,198,2019.0,165895.0,90.0,198,Queens,ridgewood,197140,1316809,5820,4106
riverdale/north riverdale/fieldston,riverdale,200,2019.0,104149.0,90.0,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
saint albans,jamaica/st. albans,205,2019.0,241275.0,86.0,205,Queens,saint albans,61978,721524,16145,8894
saint george/new brighton,east new york,206,2019.0,180811.0,86.0,206,Staten Island,saint george/new brighton,87545,364752,487,330
saint michaels cemetery/woodside,sunnyside/woodside,207,2019.0,136058.0,86.0,207,Queens,saint michaels cemetery/woodside,526,17924,757,4912
schuylerville/edgewater park,bedford park,208,2019.0,151684.0,86.0,208,Bronx,schuylerville/edgewater park,53473,610296,7847,2977
sheepshead bay,sheepshead bay,210,2019.0,147401.0,100.0,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
south beach/dongan hills,south beach,214,2019.0,138590.0,90.0,214,Staten Island,south beach/dongan hills,18593,137147,118,240
south ozone park,park slope,216,2019.0,114043.0,86.0,216,Queens,south ozone park,97285,1155682,11390,16330
south williamsburg,south beach,217,2019.0,138590.0,86.0,217,Brooklyn,south williamsburg,33090,332323,4819,5983
springfield gardens south,south beach,219,2019.0,138590.0,86.0,219,Queens,springfield gardens south,30445,354698,3432,9610
stuy town/peter cooper village,greenwich village,224,2019.0,98076.03099,86.0,224,Manhattan,stuy town/peter cooper village,61090,677745,229,164878
sunnyside,sunnyside/woodside,226,2019.0,136058.0,90.0,226,Queens,sunnyside,134177,1345587,44931,124512
sunset park east,sunset park,227,2019.0,130783.0,95.0,227,Brooklyn,sunset park east,58310,497088,6776,3211
sunset park west,sunset park,228,2019.0,130783.0,95.0,228,Brooklyn,sunset park west,84660,976568,11646,8243
sutton place/turtle bay north,crown heights north,229,2019.0,128327.0,86.0,229,Manhattan,sutton place/turtle bay north,190697,1684079,356,1590546
two bridges/seward park,bedford park,232,2019.0,151684.0,86.0,232,Manhattan,two bridges/seward park,116548,1148160,755,122406
un/turtle bay south,bay ridge,233,2019.0,121925.0,86.0,233,Manhattan,un/turtle bay south,174182,1533837,341,1100811
university heights/morris heights,university heights,235,2019.0,138209.0,90.0,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
upper east side north,upper east side,236,2019.0,216874.0,95.0,236,Manhattan,upper east side north,203313,1955678,13392,3293443
upper east side south,upper east side,237,2019.0,216874.0,95.0,237,Manhattan,upper east side south,222297,2057854,484,3643691
upper west side north,upper west side,238,2019.0,179682.0,95.0,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper west side south,upper west side,239,2019.0,179682.0,95.0,239,Manhattan,upper west side south,174604,1792408,308,2185003
van cortlandt park,bedford park,240,2019.0,151684.0,86.0,240,Bronx,van cortlandt park,16321,123560,1425,631
van cortlandt village,queens village,241,2019.0,200660.0,86.0,241,Bronx,van cortlandt village,76408,882172,8897,3257
van nest/morris park,bedford park,242,2019.0,151684.0,86.0,242,Bronx,van nest/morris park,99892,793367,27736,5704
washington heights north,washington heights,243,2019.0,204096.0,95.0,243,Manhattan,washington heights north,117614,1286964,32739,16243
washington heights south,washington heights,244,2019.0,204096.0,95.0,244,Manhattan,washington heights south,174464,1857401,155582,93579
west chelsea/hudson yards,chelsea/clinton,246,2019.0,111490.3113,86.0,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
west farms/bronx river,bronx,248,2019.0,1418207.0,90.0,248,Bronx,west farms/bronx river,49930,527009,7687,2777
