Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
central harlem - morningside heights,central harlem,41,90.0,central harlem - morningside heights,2011,Number,182526.2662,uhf302,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2011,Number,113131.1207,uhf303,74,Manhattan,east harlem north,165358,1694788,468595,328911
upper west side,upper west side north,238,95.0,upper west side,2011,Number,211737.2941,uhf304,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2011,Number,214721.5086,uhf305,236,Manhattan,upper east side north,203313,1955678,13392,3293443
chelsea - clinton,,264,,chelsea - clinton,2011,Number,148625.121,uhf306,264,Unknown,,16865242,2382,11929,787156
gramercy park -  murray hill,gramercy,107,90.0,gramercy park -  murray hill,2011,Number,127988.9144,uhf307,107,Manhattan,gramercy,226112,2191532,521,1899635
greenwich village - soho,soho,211,90.0,greenwich village - soho,2011,Number,82989.34593,uhf308,211,Manhattan,soho,136489,1427999,44,662188
union square - lower east side,lower east side,148,90.0,union square - lower east side,2011,Number,185130.1709,uhf309,148,Manhattan,lower east side,248540,2718879,191,1034964
lower manhattan,,264,,lower manhattan,2011,Number,58882.33207,uhf310,264,Unknown,,16865242,2382,11929,787156
long island city - astoria,astoria,7,90.0,long island city - astoria,2011,Number,206993.7522,uhf401,7,Queens,astoria,268194,2284990,250356,119932
west queens,lincoln square west,143,86.0,west queens,2011,Number,449813.8494,uhf402,143,Manhattan,lincoln square west,137050,1323677,302,984405
flushing - clearview,flushing,92,90.0,flushing - clearview,2011,Number,243249.5519,uhf403,92,Queens,flushing,201025,1103231,50896,6883
bayside - little neck,bayside,16,90.0,bayside - little neck,2011,Number,86464.19283,uhf404,16,Queens,bayside,56883,461406,4854,2769
ridgewood - forest hills,forest hills,95,90.0,ridgewood - forest hills,2011,Number,256430.905,uhf405,95,Queens,forest hills,129031,1329599,182178,16698
fresh meadows,fresh meadows,98,100.0,fresh meadows,2011,Number,98956.50993,uhf406,98,Queens,fresh meadows,20766,210524,2526,1922
southwest queens,long island city/queens plaza,146,86.0,southwest queens,2011,Number,281218.7007,uhf407,146,Queens,long island city/queens plaza,61943,602956,28213,75691
jamaica,jamaica,130,100.0,jamaica,2011,Number,313472.0135,uhf408,130,Queens,jamaica,108415,1343886,110395,17661
southeast queens,long island city/queens plaza,146,86.0,southeast queens,2011,Number,210935.7507,uhf409,146,Queens,long island city/queens plaza,61943,602956,28213,75691
rockaway,far rockaway,86,90.0,rockaway,2011,Number,124866.5185,uhf410,86,Queens,far rockaway,45956,270070,5110,2548
port  richmond,port richmond,187,96.0,port  richmond,2011,Number,67066.40079,uhf501,187,Staten Island,port richmond,24727,108618,92,79
stapleton - st. george,stapleton,221,90.0,stapleton - st. george,2011,Number,121230.5931,uhf502,221,Staten Island,stapleton,45144,236865,247,163
willowbrook,,264,,willowbrook,2011,Number,87725.24493,uhf503,264,Unknown,,16865242,2382,11929,787156
south beach - tottenville,bath beach,11,86.0,south beach - tottenville,2011,Number,194980.7612,uhf504,11,Brooklyn,bath beach,24014,231060,4337,1718
zip code 10001,,264,,zip code 10001,2011,Number,21097.0,10001,264,Unknown,,16865242,2382,11929,787156
zip code 10002,,264,,zip code 10002,2011,Number,81335.0,10002,264,Unknown,,16865242,2382,11929,787156
zip code 10003,,264,,zip code 10003,2011,Number,55190.0,10003,264,Unknown,,16865242,2382,11929,787156
zip code 10004,,264,,zip code 10004,2011,Number,2604.0,10004,264,Unknown,,16865242,2382,11929,787156
zip code 10005,,264,,zip code 10005,2011,Number,4935.0,10005,264,Unknown,,16865242,2382,11929,787156
zip code 10006,,264,,zip code 10006,2011,Number,2722.0,10006,264,Unknown,,16865242,2382,11929,787156
zip code 10007,,264,,zip code 10007,2011,Number,5892.0,10007,264,Unknown,,16865242,2382,11929,787156
zip code 10009,,264,,zip code 10009,2011,Number,62335.0,10009,264,Unknown,,16865242,2382,11929,787156
zip code 10010,,264,,zip code 10010,2011,Number,28954.0,10010,264,Unknown,,16865242,2382,11929,787156
zip code 10011,,264,,zip code 10011,2011,Number,51064.0,10011,264,Unknown,,16865242,2382,11929,787156
zip code 10012,,264,,zip code 10012,2011,Number,24342.0,10012,264,Unknown,,16865242,2382,11929,787156
zip code 10013,,264,,zip code 10013,2011,Number,25942.0,10013,264,Unknown,,16865242,2382,11929,787156
zip code 10014,,264,,zip code 10014,2011,Number,31685.0,10014,264,Unknown,,16865242,2382,11929,787156
zip code 10016,,264,,zip code 10016,2011,Number,53754.0,10016,264,Unknown,,16865242,2382,11929,787156
zip code 10017,,264,,zip code 10017,2011,Number,15603.0,10017,264,Unknown,,16865242,2382,11929,787156
zip code 10018,,264,,zip code 10018,2011,Number,5290.0,10018,264,Unknown,,16865242,2382,11929,787156
zip code 10019,,264,,zip code 10019,2011,Number,40778.0,10019,264,Unknown,,16865242,2382,11929,787156
zip code 10021,,264,,zip code 10021,2011,Number,41546.0,10021,264,Unknown,,16865242,2382,11929,787156
zip code 10022,,264,,zip code 10022,2011,Number,28847.0,10022,264,Unknown,,16865242,2382,11929,787156
zip code 10023,,264,,zip code 10023,2011,Number,60035.0,10023,264,Unknown,,16865242,2382,11929,787156
zip code 10024,,264,,zip code 10024,2011,Number,60239.0,10024,264,Unknown,,16865242,2382,11929,787156
zip code 10025,,264,,zip code 10025,2011,Number,95330.0,10025,264,Unknown,,16865242,2382,11929,787156
zip code 10026,,264,,zip code 10026,2011,Number,36026.0,10026,264,Unknown,,16865242,2382,11929,787156
zip code 10027,,264,,zip code 10027,2011,Number,58834.0,10027,264,Unknown,,16865242,2382,11929,787156
zip code 10028,,264,,zip code 10028,2011,Number,45345.0,10028,264,Unknown,,16865242,2382,11929,787156
zip code 10029,,264,,zip code 10029,2011,Number,78451.0,10029,264,Unknown,,16865242,2382,11929,787156
zip code 10030,,264,,zip code 10030,2011,Number,29186.0,10030,264,Unknown,,16865242,2382,11929,787156
zip code 10031,,264,,zip code 10031,2011,Number,58736.0,10031,264,Unknown,,16865242,2382,11929,787156
zip code 10032,,264,,zip code 10032,2011,Number,62798.0,10032,264,Unknown,,16865242,2382,11929,787156
zip code 10033,,264,,zip code 10033,2011,Number,58027.0,10033,264,Unknown,,16865242,2382,11929,787156
zip code 10034,,264,,zip code 10034,2011,Number,40925.0,10034,264,Unknown,,16865242,2382,11929,787156
zip code 10035,,264,,zip code 10035,2011,Number,35290.0,10035,264,Unknown,,16865242,2382,11929,787156
zip code 10036,,264,,zip code 10036,2011,Number,22371.0,10036,264,Unknown,,16865242,2382,11929,787156
zip code 10037,,264,,zip code 10037,2011,Number,17489.0,10037,264,Unknown,,16865242,2382,11929,787156
zip code 10038,,264,,zip code 10038,2011,Number,19530.0,10038,264,Unknown,,16865242,2382,11929,787156
zip code 10039,,264,,zip code 10039,2011,Number,25257.0,10039,264,Unknown,,16865242,2382,11929,787156
zip code 10040,,264,,zip code 10040,2011,Number,43753.0,10040,264,Unknown,,16865242,2382,11929,787156
zip code 10044,,264,,zip code 10044,2011,Number,11399.0,10044,264,Unknown,,16865242,2382,11929,787156
zip code 10065,,264,,zip code 10065,2011,Number,32193.0,10065,264,Unknown,,16865242,2382,11929,787156
zip code 10069,,264,,zip code 10069,2011,Number,5214.0,10069,264,Unknown,,16865242,2382,11929,787156
zip code 10075,,264,,zip code 10075,2011,Number,26082.0,10075,264,Unknown,,16865242,2382,11929,787156
zip code 10128,,264,,zip code 10128,2011,Number,58793.0,10128,264,Unknown,,16865242,2382,11929,787156
zip code 10280,,264,,zip code 10280,2011,Number,7741.0,10280,264,Unknown,,16865242,2382,11929,787156
zip code 10282,,264,,zip code 10282,2011,Number,5027.0,10282,264,Unknown,,16865242,2382,11929,787156
zip code 10301,,264,,zip code 10301,2011,Number,39367.0,10301,264,Unknown,,16865242,2382,11929,787156
zip code 10302,,264,,zip code 10302,2011,Number,17128.0,10302,264,Unknown,,16865242,2382,11929,787156
zip code 10303,,264,,zip code 10303,2011,Number,26274.0,10303,264,Unknown,,16865242,2382,11929,787156
zip code 10304,,264,,zip code 10304,2011,Number,40934.0,10304,264,Unknown,,16865242,2382,11929,787156
zip code 10305,,264,,zip code 10305,2011,Number,40085.0,10305,264,Unknown,,16865242,2382,11929,787156
zip code 10306,,264,,zip code 10306,2011,Number,55710.0,10306,264,Unknown,,16865242,2382,11929,787156
zip code 10307,,264,,zip code 10307,2011,Number,14363.0,10307,264,Unknown,,16865242,2382,11929,787156
zip code 10308,,264,,zip code 10308,2011,Number,29014.0,10308,264,Unknown,,16865242,2382,11929,787156
zip code 10309,,264,,zip code 10309,2011,Number,30706.0,10309,264,Unknown,,16865242,2382,11929,787156
zip code 10310,,264,,zip code 10310,2011,Number,24473.0,10310,264,Unknown,,16865242,2382,11929,787156
zip code 10312,,264,,zip code 10312,2011,Number,60318.0,10312,264,Unknown,,16865242,2382,11929,787156
zip code 10314,,264,,zip code 10314,2011,Number,87662.0,10314,264,Unknown,,16865242,2382,11929,787156
zip code 10451,,264,,zip code 10451,2011,Number,43550.0,10451,264,Unknown,,16865242,2382,11929,787156
zip code 10452,,264,,zip code 10452,2011,Number,75150.0,10452,264,Unknown,,16865242,2382,11929,787156
zip code 10453,,264,,zip code 10453,2011,Number,79376.0,10453,264,Unknown,,16865242,2382,11929,787156
zip code 10454,,264,,zip code 10454,2011,Number,38523.0,10454,264,Unknown,,16865242,2382,11929,787156
zip code 10455,,264,,zip code 10455,2011,Number,37699.0,10455,264,Unknown,,16865242,2382,11929,787156
zip code 10456,,264,,zip code 10456,2011,Number,86121.0,10456,264,Unknown,,16865242,2382,11929,787156
zip code 10457,,264,,zip code 10457,2011,Number,69144.0,10457,264,Unknown,,16865242,2382,11929,787156
zip code 10458,,264,,zip code 10458,2011,Number,73436.0,10458,264,Unknown,,16865242,2382,11929,787156
zip code 10459,,264,,zip code 10459,2011,Number,45261.0,10459,264,Unknown,,16865242,2382,11929,787156
zip code 10460,,264,,zip code 10460,2011,Number,55462.0,10460,264,Unknown,,16865242,2382,11929,787156
zip code 10461,,264,,zip code 10461,2011,Number,51767.0,10461,264,Unknown,,16865242,2382,11929,787156
zip code 10462,,264,,zip code 10462,2011,Number,75407.0,10462,264,Unknown,,16865242,2382,11929,787156
zip code 10463,,264,,zip code 10463,2011,Number,68345.0,10463,264,Unknown,,16865242,2382,11929,787156
zip code 10464,,264,,zip code 10464,2011,Number,4255.0,10464,264,Unknown,,16865242,2382,11929,787156
zip code 10465,,264,,zip code 10465,2011,Number,42688.0,10465,264,Unknown,,16865242,2382,11929,787156
zip code 10466,,264,,zip code 10466,2011,Number,72997.0,10466,264,Unknown,,16865242,2382,11929,787156
zip code 10467,,264,,zip code 10467,2011,Number,93833.0,10467,264,Unknown,,16865242,2382,11929,787156
zip code 10468,,264,,zip code 10468,2011,Number,73738.0,10468,264,Unknown,,16865242,2382,11929,787156
zip code 10469,,264,,zip code 10469,2011,Number,71245.0,10469,264,Unknown,,16865242,2382,11929,787156
zip code 10470,,264,,zip code 10470,2011,Number,14952.0,10470,264,Unknown,,16865242,2382,11929,787156
zip code 10471,,264,,zip code 10471,2011,Number,22222.0,10471,264,Unknown,,16865242,2382,11929,787156
zip code 10472,,264,,zip code 10472,2011,Number,66041.0,10472,264,Unknown,,16865242,2382,11929,787156
zip code 10473,,264,,zip code 10473,2011,Number,57444.0,10473,264,Unknown,,16865242,2382,11929,787156
zip code 10474,,264,,zip code 10474,2011,Number,12466.0,10474,264,Unknown,,16865242,2382,11929,787156
zip code 10475,,264,,zip code 10475,2011,Number,41377.0,10475,264,Unknown,,16865242,2382,11929,787156
zip code 11001,,264,,zip code 11001,2011,Number,26905.0,11001,264,Unknown,,16865242,2382,11929,787156
zip code 11004,,264,,zip code 11004,2011,Number,14050.0,11004,264,Unknown,,16865242,2382,11929,787156
zip code 11005,,264,,zip code 11005,2011,Number,1797.0,11005,264,Unknown,,16865242,2382,11929,787156
zip code 11040,,264,,zip code 11040,2011,Number,40296.0,11040,264,Unknown,,16865242,2382,11929,787156
zip code 11096,,264,,zip code 11096,2011,Number,8443.0,11096,264,Unknown,,16865242,2382,11929,787156
zip code 11101,,264,,zip code 11101,2011,Number,23798.0,11101,264,Unknown,,16865242,2382,11929,787156
zip code 11102,,264,,zip code 11102,2011,Number,33432.0,11102,264,Unknown,,16865242,2382,11929,787156
zip code 11103,,264,,zip code 11103,2011,Number,36508.0,11103,264,Unknown,,16865242,2382,11929,787156
zip code 11104,,264,,zip code 11104,2011,Number,26230.0,11104,264,Unknown,,16865242,2382,11929,787156
zip code 11105,,264,,zip code 11105,2011,Number,38103.0,11105,264,Unknown,,16865242,2382,11929,787156
zip code 11106,,264,,zip code 11106,2011,Number,36305.0,11106,264,Unknown,,16865242,2382,11929,787156
zip code 11109,,264,,zip code 11109,2011,Number,2916.0,11109,264,Unknown,,16865242,2382,11929,787156
zip code 11201,,264,,zip code 11201,2011,Number,51356.0,11201,264,Unknown,,16865242,2382,11929,787156
zip code 11203,,264,,zip code 11203,2011,Number,80337.0,11203,264,Unknown,,16865242,2382,11929,787156
zip code 11204,,264,,zip code 11204,2011,Number,78690.0,11204,264,Unknown,,16865242,2382,11929,787156
zip code 11205,,264,,zip code 11205,2011,Number,38997.0,11205,264,Unknown,,16865242,2382,11929,787156
zip code 11206,,264,,zip code 11206,2011,Number,79674.0,11206,264,Unknown,,16865242,2382,11929,787156
zip code 11207,,264,,zip code 11207,2011,Number,89676.0,11207,264,Unknown,,16865242,2382,11929,787156
zip code 11208,,264,,zip code 11208,2011,Number,93447.0,11208,264,Unknown,,16865242,2382,11929,787156
zip code 11209,,264,,zip code 11209,2011,Number,71704.0,11209,264,Unknown,,16865242,2382,11929,787156
zip code 11210,,264,,zip code 11210,2011,Number,64508.0,11210,264,Unknown,,16865242,2382,11929,787156
zip code 11211,,264,,zip code 11211,2011,Number,90522.0,11211,264,Unknown,,16865242,2382,11929,787156
zip code 11212,,264,,zip code 11212,2011,Number,80311.0,11212,264,Unknown,,16865242,2382,11929,787156
zip code 11213,,264,,zip code 11213,2011,Number,62231.0,11213,264,Unknown,,16865242,2382,11929,787156
zip code 11214,,264,,zip code 11214,2011,Number,78326.0,11214,264,Unknown,,16865242,2382,11929,787156
zip code 11215,,264,,zip code 11215,2011,Number,65477.0,11215,264,Unknown,,16865242,2382,11929,787156
zip code 11216,,264,,zip code 11216,2011,Number,53065.0,11216,264,Unknown,,16865242,2382,11929,787156
zip code 11217,,264,,zip code 11217,2011,Number,38992.0,11217,264,Unknown,,16865242,2382,11929,787156
zip code 11218,,264,,zip code 11218,2011,Number,76811.0,11218,264,Unknown,,16865242,2382,11929,787156
zip code 11219,,264,,zip code 11219,2011,Number,94083.0,11219,264,Unknown,,16865242,2382,11929,787156
zip code 11220,,264,,zip code 11220,2011,Number,99540.0,11220,264,Unknown,,16865242,2382,11929,787156
zip code 11221,,264,,zip code 11221,2011,Number,77041.0,11221,264,Unknown,,16865242,2382,11929,787156
zip code 11222,,264,,zip code 11222,2011,Number,33482.0,11222,264,Unknown,,16865242,2382,11929,787156
zip code 11223,,264,,zip code 11223,2011,Number,73208.0,11223,264,Unknown,,16865242,2382,11929,787156
zip code 11224,,264,,zip code 11224,2011,Number,45092.0,11224,264,Unknown,,16865242,2382,11929,787156
zip code 11225,,264,,zip code 11225,2011,Number,58987.0,11225,264,Unknown,,16865242,2382,11929,787156
zip code 11226,,264,,zip code 11226,2011,Number,99422.0,11226,264,Unknown,,16865242,2382,11929,787156
zip code 11228,,264,,zip code 11228,2011,Number,42585.0,11228,264,Unknown,,16865242,2382,11929,787156
zip code 11229,,264,,zip code 11229,2011,Number,77021.0,11229,264,Unknown,,16865242,2382,11929,787156
zip code 11230,,264,,zip code 11230,2011,Number,85757.0,11230,264,Unknown,,16865242,2382,11929,787156
zip code 11231,,264,,zip code 11231,2011,Number,35109.0,11231,264,Unknown,,16865242,2382,11929,787156
zip code 11232,,264,,zip code 11232,2011,Number,27925.0,11232,264,Unknown,,16865242,2382,11929,787156
zip code 11233,,264,,zip code 11233,2011,Number,66315.0,11233,264,Unknown,,16865242,2382,11929,787156
zip code 11234,,264,,zip code 11234,2011,Number,94891.0,11234,264,Unknown,,16865242,2382,11929,787156
zip code 11235,,264,,zip code 11235,2011,Number,71129.0,11235,264,Unknown,,16865242,2382,11929,787156
zip code 11236,,264,,zip code 11236,2011,Number,94643.0,11236,264,Unknown,,16865242,2382,11929,787156
zip code 11237,,264,,zip code 11237,2011,Number,52123.0,11237,264,Unknown,,16865242,2382,11929,787156
zip code 11238,,264,,zip code 11238,2011,Number,50840.0,11238,264,Unknown,,16865242,2382,11929,787156
zip code 11239,,264,,zip code 11239,2011,Number,12802.0,11239,264,Unknown,,16865242,2382,11929,787156
zip code 11354,,264,,zip code 11354,2011,Number,53050.0,11354,264,Unknown,,16865242,2382,11929,787156
zip code 11355,,264,,zip code 11355,2011,Number,82505.0,11355,264,Unknown,,16865242,2382,11929,787156
zip code 11356,,264,,zip code 11356,2011,Number,21721.0,11356,264,Unknown,,16865242,2382,11929,787156
zip code 11357,,264,,zip code 11357,2011,Number,40516.0,11357,264,Unknown,,16865242,2382,11929,787156
zip code 11358,,264,,zip code 11358,2011,Number,38668.0,11358,264,Unknown,,16865242,2382,11929,787156
zip code 11359,,264,,zip code 11359,2011,Number,0.0,11359,264,Unknown,,16865242,2382,11929,787156
zip code 11360,,264,,zip code 11360,2011,Number,20953.0,11360,264,Unknown,,16865242,2382,11929,787156
zip code 11361,,264,,zip code 11361,2011,Number,28926.0,11361,264,Unknown,,16865242,2382,11929,787156
zip code 11362,,264,,zip code 11362,2011,Number,17492.0,11362,264,Unknown,,16865242,2382,11929,787156
zip code 11363,,264,,zip code 11363,2011,Number,7052.0,11363,264,Unknown,,16865242,2382,11929,787156
zip code 11364,,264,,zip code 11364,2011,Number,35372.0,11364,264,Unknown,,16865242,2382,11929,787156
zip code 11365,,264,,zip code 11365,2011,Number,41283.0,11365,264,Unknown,,16865242,2382,11929,787156
zip code 11366,,264,,zip code 11366,2011,Number,14160.0,11366,264,Unknown,,16865242,2382,11929,787156
zip code 11367,,264,,zip code 11367,2011,Number,38835.0,11367,264,Unknown,,16865242,2382,11929,787156
zip code 11368,,264,,zip code 11368,2011,Number,103401.0,11368,264,Unknown,,16865242,2382,11929,787156
zip code 11369,,264,,zip code 11369,2011,Number,39677.0,11369,264,Unknown,,16865242,2382,11929,787156
zip code 11370,,264,,zip code 11370,2011,Number,38370.0,11370,264,Unknown,,16865242,2382,11929,787156
zip code 11371,,264,,zip code 11371,2011,Number,0.0,11371,264,Unknown,,16865242,2382,11929,787156
zip code 11372,,264,,zip code 11372,2011,Number,63520.0,11372,264,Unknown,,16865242,2382,11929,787156
zip code 11373,,264,,zip code 11373,2011,Number,96474.0,11373,264,Unknown,,16865242,2382,11929,787156
zip code 11374,,264,,zip code 11374,2011,Number,42888.0,11374,264,Unknown,,16865242,2382,11929,787156
zip code 11375,,264,,zip code 11375,2011,Number,69266.0,11375,264,Unknown,,16865242,2382,11929,787156
zip code 11377,,264,,zip code 11377,2011,Number,87143.0,11377,264,Unknown,,16865242,2382,11929,787156
zip code 11378,,264,,zip code 11378,2011,Number,33672.0,11378,264,Unknown,,16865242,2382,11929,787156
zip code 11379,,264,,zip code 11379,2011,Number,34529.0,11379,264,Unknown,,16865242,2382,11929,787156
zip code 11385,,264,,zip code 11385,2011,Number,99295.0,11385,264,Unknown,,16865242,2382,11929,787156
zip code 11411,,264,,zip code 11411,2011,Number,20426.0,11411,264,Unknown,,16865242,2382,11929,787156
zip code 11412,,264,,zip code 11412,2011,Number,36932.0,11412,264,Unknown,,16865242,2382,11929,787156
zip code 11413,,264,,zip code 11413,2011,Number,39922.0,11413,264,Unknown,,16865242,2382,11929,787156
zip code 11414,,264,,zip code 11414,2011,Number,28480.0,11414,264,Unknown,,16865242,2382,11929,787156
zip code 11415,,264,,zip code 11415,2011,Number,18677.0,11415,264,Unknown,,16865242,2382,11929,787156
zip code 11416,,264,,zip code 11416,2011,Number,23852.0,11416,264,Unknown,,16865242,2382,11929,787156
zip code 11417,,264,,zip code 11417,2011,Number,29928.0,11417,264,Unknown,,16865242,2382,11929,787156
zip code 11418,,264,,zip code 11418,2011,Number,36005.0,11418,264,Unknown,,16865242,2382,11929,787156
zip code 11419,,264,,zip code 11419,2011,Number,48138.0,11419,264,Unknown,,16865242,2382,11929,787156
zip code 11420,,264,,zip code 11420,2011,Number,47243.0,11420,264,Unknown,,16865242,2382,11929,787156
zip code 11421,,264,,zip code 11421,2011,Number,40975.0,11421,264,Unknown,,16865242,2382,11929,787156
zip code 11422,,264,,zip code 11422,2011,Number,31739.0,11422,264,Unknown,,16865242,2382,11929,787156
zip code 11423,,264,,zip code 11423,2011,Number,30890.0,11423,264,Unknown,,16865242,2382,11929,787156
zip code 11426,,264,,zip code 11426,2011,Number,19165.0,11426,264,Unknown,,16865242,2382,11929,787156
zip code 11427,,264,,zip code 11427,2011,Number,24385.0,11427,264,Unknown,,16865242,2382,11929,787156
zip code 11428,,264,,zip code 11428,2011,Number,19764.0,11428,264,Unknown,,16865242,2382,11929,787156
zip code 11429,,264,,zip code 11429,2011,Number,29167.0,11429,264,Unknown,,16865242,2382,11929,787156
zip code 11430,,264,,zip code 11430,2011,Number,53.0,11430,264,Unknown,,16865242,2382,11929,787156
zip code 11432,,264,,zip code 11432,2011,Number,56900.0,11432,264,Unknown,,16865242,2382,11929,787156
zip code 11433,,264,,zip code 11433,2011,Number,30076.0,11433,264,Unknown,,16865242,2382,11929,787156
zip code 11434,,264,,zip code 11434,2011,Number,61183.0,11434,264,Unknown,,16865242,2382,11929,787156
zip code 11435,,264,,zip code 11435,2011,Number,52358.0,11435,264,Unknown,,16865242,2382,11929,787156
zip code 11436,,264,,zip code 11436,2011,Number,16956.0,11436,264,Unknown,,16865242,2382,11929,787156
zip code 11691,,264,,zip code 11691,2011,Number,59376.0,11691,264,Unknown,,16865242,2382,11929,787156
zip code 11692,,264,,zip code 11692,2011,Number,17070.0,11692,264,Unknown,,16865242,2382,11929,787156
zip code 11693,,264,,zip code 11693,2011,Number,11407.0,11693,264,Unknown,,16865242,2382,11929,787156
zip code 11694,,264,,zip code 11694,2011,Number,20792.0,11694,264,Unknown,,16865242,2382,11929,787156
zip code 11697,,264,,zip code 11697,2011,Number,4381.0,11697,264,Unknown,,16865242,2382,11929,787156
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2012,Number,59742.64163,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2012,Number,88192.35837,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2012,Number,167050.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2012,Number,94014.67654,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2012,Number,47053.32346,105,100,Manhattan,garment district,176155,1535202,298,1727069
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2012,Number,141157.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2012,Number,198568.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2012,Number,220861.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2012,Number,128093.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2012,Number,138256.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2012,Number,122538.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2012,Number,213564.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2012,Number,100795.4575,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2012,Number,57555.5425,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2012,Number,81620.16154,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2012,Number,137175.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2012,Number,131879.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2012,Number,85207.83846,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2012,Number,128117.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2012,Number,104603.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2012,Number,179541.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2012,Number,119950.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2012,Number,136275.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2012,Number,145754.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2012,Number,147300.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2012,Number,130102.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2012,Number,136462.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2012,Number,143782.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2012,Number,157832.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2012,Number,109204.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2012,Number,151902.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2012,Number,120243.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2012,Number,113485.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2012,Number,127481.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2012,Number,189420.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2012,Number,162352.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2012,Number,100695.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2012,Number,148198.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2012,Number,153182.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2012,Number,128864.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
