Location;TimeFrame;DataFormat;Data;Fips
Fort Greene/Brooklyn Hts;2017;Years;81,6;302
Fort Greene/Brooklyn Hts;2018;Years;82,3;302
Fort Greene/Brooklyn Hts;2019;Years;83;302
Fort Greene/Brooklyn Hts;2020;Years;85,7;302
Fresh Meadows/Briarwood;2014;Years;83,5;408
Fresh Meadows/Briarwood;2015;Years;83,9;408
Fresh Meadows/Briarwood;2016;Years;84,1;408
Fresh Meadows/Briarwood;2017;Years;84,4;408
Fresh Meadows/Briarwood;2018;Years;84,7;408
Fresh Meadows/Briarwood;2019;Years;84,9;408
Fresh Meadows/Briarwood;2020;Years;84,9;408
Greenwich Village;2014;Years;85;102
Greenwich Village;2015;Years;85,8;102
Greenwich Village;2016;Years;86,2;102
Greenwich Village;2017;Years;86,7;102
Greenwich Village;2018;Years;87,2;102
Greenwich Village;2019;Years;87,7;102
Greenwich Village;2020;Years;88,4;102
Howard Beach;2014;Years;81,4;410
Howard Beach;2015;Years;81,7;410
Howard Beach;2016;Years;81,7;410
Howard Beach;2017;Years;81,9;410
Howard Beach;2018;Years;82;410
Howard Beach;2019;Years;81,9;410
Howard Beach;2020;Years;81,7;410
Hunts Point;2014;Years;78,3;202
Hunts Point;2015;Years;78,9;202
Hunts Point;2016;Years;79,4;202
Hunts Point;2017;Years;79,8;202
Hunts Point;2018;Years;80,1;202
Hunts Point;2019;Years;80,5;202
Hunts Point;2020;Years;80,1;202
Jackson Heights;2014;Years;84,1;403
Jackson Heights;2015;Years;84,7;403
Jackson Heights;2016;Years;85,2;403
Jackson Heights;2017;Years;85,7;403
Jackson Heights;2018;Years;85,9;403
Jackson Heights;2019;Years;86,1;403
Jackson Heights;2020;Years;85,4;403
Jamaica/St. Albans;2014;Years;79,7;412
Jamaica/St. Albans;2015;Years;80,5;412
Jamaica/St. Albans;2016;Years;80,8;412
Jamaica/St. Albans;2017;Years;81,1;412
Jamaica/St. Albans;2018;Years;81,3;412
Jamaica/St. Albans;2019;Years;81,4;412
Jamaica/St. Albans;2020;Years;81;412
Lower East Side;2014;Years;81,4;103
Lower East Side;2015;Years;82,2;103
Lower East Side;2016;Years;82,7;103
Lower East Side;2017;Years;83,2;103
