PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
116,Manhattan,Hamilton Heights,98624,1077222,90566,99068
117,Queens,Hammels/Arverne,27937,235142,6337,2373
118,Staten Island,Heartland Village/Todt Hill,23052,208914,109,406
119,Bronx,Highbridge,83119,808319,12303,5157
120,Manhattan,Highbridge Park,8163,21874,724,536
121,Queens,Hillcrest/Pomonok,49922,481261,10687,3869
122,Queens,Hollis,18798,222078,5807,2124
123,Brooklyn,Homecrest,65569,666880,11379,4155
124,Queens,Howard Beach,22375,267762,3661,3569
125,Manhattan,Hudson Sq,95857,889404,94,472579
126,Bronx,Hunts Point,54238,608626,7476,2454
127,Manhattan,Inwood,72483,838342,18404,8761
128,Manhattan,Inwood Hill Park,5439,53088,1077,818
129,Queens,Jackson Heights,239990,1727841,157669,43858
130,Queens,Jamaica,108415,1343886,110395,17661
131,Queens,Jamaica Estates,30711,324230,7784,3603
132,Queens,JFK Airport,426637,3632647,968,2729890
133,Brooklyn,Kensington,42431,418690,6920,5452
134,Queens,Kew Gardens,40494,444832,52209,7965
135,Queens,Kew Gardens Hills,38715,404830,6735,5462
136,Bronx,Kingsbridge Heights,60726,632424,13192,4502
137,Manhattan,Kips Bay,191370,1613054,1359,999892
138,Queens,LaGuardia Airport,336709,3988180,960,2159566
139,Queens,Laurelton,26730,310709,5327,3675
140,Manhattan,Lenox Hill East,178635,1624192,1639,1505769
141,Manhattan,Lenox Hill West,185181,1803659,666,1961375
142,Manhattan,Lincoln Square East,174285,1782875,369,2534595
143,Manhattan,Lincoln Square West,137050,1323677,302,984405
144,Manhattan,Little Italy/NoLiTa,194007,1941555,128,821009
145,Queens,Long Island City/Hunters Point,140273,1562357,53666,108529
146,Queens,Long Island City/Queens Plaza,61943,602956,28213,75691
147,Bronx,Longwood,52231,474524,7301,2714
148,Manhattan,Lower East Side,248540,2718879,191,1034964
149,Brooklyn,Madison,51737,516004,8023,3657
150,Brooklyn,Manhattan Beach,28614,288166,5582,1707
151,Manhattan,Manhattan Valley,84758,822026,701,740070
152,Manhattan,Manhattanville,57572,557132,45774,83986
153,Manhattan,Marble Hill,14721,218057,2956,1911
154,Brooklyn,Marine Park/Floyd Bennett Field,1991,25814,530,586
155,Brooklyn,Marine Park/Mill Basin,57059,640898,13224,5356
156,Staten Island,Mariners Harbor,34356,211252,631,209
157,Queens,Maspeth,60658,584260,5270,7512
158,Manhattan,Meatpacking/West Village West,146024,1613667,29,846204
159,Bronx,Melrose South,102970,920180,23883,8421
160,Queens,Middle Village,50687,443024,4256,2641
161,Manhattan,Midtown Center,372217,2956387,387,3453114
162,Manhattan,Midtown East,267553,2332131,344,3048719
163,Manhattan,Midtown North,189065,1896566,245,2259860
