PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
187,Staten Island,Port Richmond,5859,117561,24,83
188,Brooklyn,Prospect-Lefferts Gardens,19057,1505751,9043,10001
189,Brooklyn,Prospect Heights,2944,599414,2634,4957
190,Brooklyn,Prospect Park,576,115525,594,1058
191,Queens,Queens Village,3725,496430,2234,2790
192,Queens,Queensboro Hill,13658,209837,1268,1049
193,Queens,Queensbridge/Ravenswood,8661,244352,5104,27888
194,Manhattan,Randalls Island,412,24026,161,1578
195,Brooklyn,Red Hook,2857,347654,1337,2256
196,Queens,Rego Park,10506,451987,7725,3723
197,Queens,Richmond Hill,9047,756373,6628,5896
198,Queens,Ridgewood,3604,1075651,1263,2547
200,Bronx,Riverdale/North Riverdale/Fieldston,1923,296328,1141,1821
201,Queens,Rockaway Park,6455,109932,608,812
202,Manhattan,Roosevelt Island,1726,105372,544,1683
203,Queens,Rosedale,2189,324519,782,1766
204,Staten Island,Rossville/Woodrow,2439,40513,7,48
205,Queens,Saint Albans,6844,788305,3765,5956
206,Staten Island,Saint George/New Brighton,80940,338410,117,180
207,Queens,Saint Michaels Cemetery/Woodside,176,48023,467,3226
208,Bronx,Schuylerville/Edgewater Park,5113,578837,2219,2455
209,Manhattan,Seaport,3323,355715,207,51143
210,Brooklyn,Sheepshead Bay,30817,564331,3224,3710
211,Manhattan,SoHo,3790,1061284,47,201676
212,Bronx,Soundview/Bruckner,8902,500674,2901,2513
213,Bronx,Soundview/Castle Hill,14753,1008930,7601,6398
214,Staten Island,South Beach/Dongan Hills,14839,136327,18,70
215,Queens,South Jamaica,6816,622382,3631,5426
216,Queens,South Ozone Park,12295,1009431,2949,6468
217,Brooklyn,South Williamsburg,1650,268972,723,2028
218,Queens,Springfield Gardens North,4733,405520,2527,4277
219,Queens,Springfield Gardens South,2200,357772,1042,4124
220,Bronx,Spuyten Duyvil/Kingsbridge,4349,612739,3008,3249
221,Staten Island,Stapleton,89442,239685,72,117
222,Brooklyn,Starrett City,10337,242324,2599,3609
223,Queens,Steinway,35619,837357,4292,9034
224,Manhattan,Stuy Town/Peter Cooper Village,2224,333872,185,50823
225,Brooklyn,Stuyvesant Heights,8929,1614843,6477,8355
226,Queens,Sunnyside,11651,1060176,5563,32108
227,Brooklyn,Sunset Park East,13529,406969,1783,1924
228,Brooklyn,Sunset Park West,8923,863548,3387,5831
229,Manhattan,Sutton Place/Turtle Bay North,8112,1055186,283,689358
230,Manhattan,Times Sq/Theatre District,23791,1596411,220,721741
231,Manhattan,TriBeCa/Civic Center,11660,1875845,383,395375
232,Manhattan,Two Bridges/Seward Park,6720,884831,636,68244
233,Manhattan,UN/Turtle Bay South,7254,985585,324,411004
234,Manhattan,Union Sq,8323,1778391,344,824127
235,Bronx,University Heights/Morris Heights,11754,847382,5017,4701
236,Manhattan,Upper East Side North,10300,1269609,4367,1424614
237,Manhattan,Upper East Side South,11159,1388769,487,1553554
238,Manhattan,Upper West Side North,5280,964252,840,742175
239,Manhattan,Upper West Side South,4927,1109298,295,932473
240,Bronx,Van Cortlandt Park,815,110862,537,530
241,Bronx,Van Cortlandt Village,5650,720825,2670,2506
242,Bronx,Van Nest/Morris Park,30129,731426,7695,6003
243,Manhattan,Washington Heights North,4742,992760,5876,8485
244,Manhattan,Washington Heights South,11914,1448618,31473,46082
245,Staten Island,West Brighton,16083,124345,15,43
246,Manhattan,West Chelsea/Hudson Yards,7659,1604040,137,416221
247,Bronx,West Concourse,10022,883856,5754,6586
248,Bronx,West Farms/Bronx River,6846,501714,1946,2791
249,Manhattan,West Village,7300,1696249,151,635682
250,Bronx,Westchester Village/Unionport,5274,483779,2332,2509
251,Staten Island,Westerleigh,8367,127123,11,47
252,Queens,Whitestone,21417,219114,411,913
253,Queens,Willets Point,483,16032,202,187
254,Bronx,Williamsbridge/Olinville,11057,929403,4759,4629
255,Brooklyn,Williamsburg (North Side),2078,1585859,3009,12608
256,Brooklyn,Williamsburg (South Side),2950,1425942,2292,13160
257,Brooklyn,Windsor Terrace,6405,249523,898,1557
258,Queens,Woodhaven,5665,596217,1186,1882
259,Bronx,Woodlawn/Wakefield,7658,581820,1803,2251
260,Queens,Woodside,15960,729273,7906,9644
261,Manhattan,World Trade Center,2659,587669,109,126983
262,Manhattan,Yorkville East,3030,686562,430,447744
263,Manhattan,Yorkville West,4016,960579,1891,736487
264,Unknown,N/A,2362,69,2044,230583
265,N/A,Outside of NYC,48980,12118,1861,139750
