236,1,745
92,138,42
50,132,1263
258,132,36
37,138,130
122,132,11
50,1,615
1,138,7
252,138,3
131,1,1
158,132,2291
119,132,9
203,138,2
239,138,8348
229,1,528
55,132,11
9,138,9
237,138,8998
72,138,4
13,1,1177
250,132,2
197,1,4
249,1,777
88,132,949
6,132,4
198,132,44
164,138,11534
140,138,5430
256,132,240
159,138,8
127,138,32
15,132,2
132,138,20344
137,1,153
126,138,3
116,1,20
148,138,1816
10,138,135
129,1,5
236,132,5889
181,138,173
209,138,761
236,138,9966
163,1,5377
115,1,1
100,138,7338
33,1,46
208,132,5
168,138,21
239,1,1634
223,1,18
76,132,104
121,138,6
43,138,3580
213,138,27
135,132,41
100,132,6124
265,138,63
127,132,22
56,132,11
64,132,8
126,132,4
170,132,12633
209,132,848
230,132,28711
102,138,4
161,132,18774
90,1,1384
75,138,1633
12,138,70
163,138,17290
79,138,3202
22,132,7
1,1,3852
95,138,50
41,1,97
19,138,9
260,138,307
45,1,138
164,132,11307
28,138,34
207,132,10
106,132,19
75,132,1469
79,132,3167
232,132,417
216,1,22
19,132,17
225,138,79
239,132,5846
234,1,1138
87,1,793
169,132,7
141,132,3756
16,132,19
10,132,244
75,1,94
97,138,182
28,1,4
66,1,19
4,138,182
201,132,3
88,1,300
252,132,5
219,132,170
90,138,4093
53,138,15
62,138,71
114,132,988
7,1,6
24,1,84
24,138,925
244,1,26
9,132,17
39,132,66
202,138,40
28,132,155
217,132,15
253,132,5
263,138,6626
93,1,18
97,132,135
190,132,12
155,138,3
51,138,4
68,132,6528
180,132,82
218,138,15
17,132,122
25,1,22
73,132,3
32,132,2
96,132,11
163,132,13650
229,132,4479
151,132,1677
194,138,63
254,138,3
11,1,1
74,138,825
146,132,264
250,138,4
43,1,684
146,138,488
116,132,207
230,1,10326
238,138,5377
229,138,6250
93,138,473
158,1,1083
40,138,87
145,132,1344
173,138,8
263,132,3717
154,132,12
191,138,11
161,1,6163
125,138,1222
64,138,7
125,1,835
211,138,1075
141,1,401
262,132,3847
238,132,4026
45,132,465
106,138,32
220,132,12
205,132,30
261,1,1158
80,132,216
224,1,76
195,138,375
49,138,179
65,132,474
112,138,118
264,138,753
132,132,76006
162,132,11806
49,132,190
233,1,1763
164,1,3688
141,138,5595
143,138,2124
70,1,114
69,1,2
23,132,2
18,132,7
124,138,4
247,132,11
181,1,15
83,138,340
90,132,3957
188,132,106
160,138,8
180,1,1
255,138,196
244,132,139
52,138,83
129,138,1053
125,132,1499
70,138,1974
256,138,185
262,1,312
157,138,12
135,138,12
160,1,2
42,132,235
8,132,6
238,1,820
151,138,2251
35,132,29
217,138,16
145,138,831
70,132,1627
56,138,8
77,132,22
197,138,30
151,1,307
228,132,31
108,138,2
35,138,5
86,132,30
191,132,35
222,138,4
112,132,144
138,1,913
63,132,34
113,132,2008
13,138,3430
33,138,349
167,132,3
26,132,4
146,1,10
192,132,15
61,138,234
7,132,213
261,138,3035
197,132,743
140,132,2887
89,138,70
247,1,2
255,1,15
93,132,842
218,132,105
262,138,6902
247,138,20
152,1,17
3,138,2
148,132,3070
208,138,5
127,1,5
139,132,18
37,132,110
47,132,4
231,138,2824
173,132,8
83,132,43
145,1,15
87,132,2801
143,1,640
82,132,88
131,138,9
8,138,3
134,132,966
263,1,305
189,132,163
36,132,68
137,132,1430
260,132,259
52,132,67
138,138,17455
132,1,1830
113,138,2094
158,138,1645
71,1,1
224,132,397
156,1,4
144,1,439
38,132,30
60,138,2
261,132,3248
195,132,343
74,1,19
10,1,14
113,1,614
66,138,92
52,1,10
219,1,4
234,138,4932
137,138,1897
142,138,7564
101,138,3
91,132,15
101,132,9
40,132,39
128,138,6
230,138,40325
142,1,2004
50,138,2114
16,1,2
192,138,13
79,1,771
265,132,175
264,1,173
1,132,10
264,132,677
139,138,3
193,132,97
140,1,323
116,138,295
4,1,38
38,1,1
25,138,259
36,138,61
195,1,134
42,1,27
85,132,25
78,132,4
124,132,98
102,132,35
67,132,7
224,138,460
161,138,28751
144,138,1061
232,138,255
186,132,5194
177,132,32
80,1,14
210,132,16
130,138,90
114,1,355
207,138,51
235,138,4
223,138,473
13,132,2888
71,132,22
88,138,1164
129,132,130
249,132,1663
196,132,239
226,1,13
246,132,2004
121,132,3
138,132,12373
221,1,2
165,132,15
170,1,2204
246,1,1382
202,132,69
249,138,1512
43,132,2859
265,1,585
54,138,30
41,132,745
100,1,2178
166,132,1240
209,1,232
81,138,3
107,138,5221
211,132,1500
179,132,88
48,138,8322
216,132,2342
82,138,86
244,138,251
41,138,1087
152,132,92
33,132,276
215,138,58
212,138,4
227,132,11
42,138,400
80,138,132
174,132,6
95,1,2
228,138,24
260,1,9
179,138,124
7,138,462
107,132,4680
182,132,2
68,138,5921
130,132,155
48,1,3362
231,1,1531
87,138,2556
44,138,1
170,138,11943
89,132,108
74,132,550
68,1,2581
203,132,28
181,132,167
233,132,8184
225,132,104
255,132,223
166,138,1485
226,138,878
186,1,2688
62,132,80
72,132,43
234,132,4189
25,132,190
11,132,4
237,132,5609
160,132,187
92,132,46
61,132,291
231,132,2931
14,132,25
65,1,57
148,1,774
211,1,609
95,132,318
48,132,8550
66,132,202
134,138,30
45,138,377
157,132,362
12,132,57
53,132,11
120,132,8
167,138,4
162,1,3189
65,138,538
12,1,18
171,138,4
226,132,1813
168,132,13
4,132,197
155,132,17
222,132,12
149,132,15
186,138,5167
108,132,8
216,138,28
85,138,13
254,132,13
142,132,5822
233,138,9310
69,132,13
212,132,3
143,132,1939
196,138,12
152,138,150
237,1,1267
134,1,4
67,138,3
55,138,2
215,132,48
131,132,19
162,138,18519
223,132,137
243,138,131
144,132,1464
246,138,2769
194,132,90
243,132,88
213,132,6
