PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
217,Brooklyn,South Williamsburg,5122,306821,273,1387
218,Queens,Springfield Gardens North,8459,432678,210,2123
219,Queens,Springfield Gardens South,4328,374581,183,4382
220,Bronx,Spuyten Duyvil/Kingsbridge,6303,701561,713,1474
221,Staten Island,Stapleton,45960,260504,16,60
222,Brooklyn,Starrett City,15141,242670,252,1266
223,Queens,Steinway,33876,1003332,5720,9689
224,Manhattan,Stuy Town/Peter Cooper Village,5711,510941,8,60204
225,Brooklyn,Stuyvesant Heights,22126,1743175,1770,4427
226,Queens,Sunnyside,17382,1241450,3886,33687
227,Brooklyn,Sunset Park East,14661,491527,240,638
228,Brooklyn,Sunset Park West,13721,990597,794,2405
229,Manhattan,Sutton Place/Turtle Bay North,13605,1397768,30,833524
230,Manhattan,Times Sq/Theatre District,34276,2839376,47,1220491
231,Manhattan,TriBeCa/Civic Center,27031,2575807,49,557685
232,Manhattan,Two Bridges/Seward Park,15582,993035,59,52854
233,Manhattan,UN/Turtle Bay South,13334,1332999,23,514906
234,Manhattan,Union Sq,19233,2439614,15,1039273
235,Bronx,University Heights/Morris Heights,11109,843959,601,2196
236,Manhattan,Upper East Side North,17812,1617012,5739,1656140
237,Manhattan,Upper East Side South,17737,1838431,16,1858969
238,Manhattan,Upper West Side North,11739,1145745,73,832317
239,Manhattan,Upper West Side South,11042,1410970,34,1132068
240,Bronx,Van Cortlandt Park,1193,119634,88,147
241,Bronx,Van Cortlandt Village,6882,753699,807,1275
242,Bronx,Van Nest/Morris Park,25323,801079,603,1877
243,Manhattan,Washington Heights North,6567,1097877,3130,6268
244,Manhattan,Washington Heights South,16521,1566769,24828,32916
245,Staten Island,West Brighton,22709,147459,5,30
246,Manhattan,West Chelsea/Hudson Yards,16340,2349494,19,593668
247,Bronx,West Concourse,10173,937430,3036,4020
248,Bronx,West Farms/Bronx River,5665,503582,293,881
249,Manhattan,West Village,16455,2246909,16,824190
250,Bronx,Westchester Village/Unionport,6463,499551,316,877
251,Staten Island,Westerleigh,14994,145661,7,41
252,Queens,Whitestone,18984,253497,211,494
253,Queens,Willets Point,355,19133,444,140
254,Bronx,Williamsbridge/Olinville,12549,938638,347,1998
255,Brooklyn,Williamsburg (North Side),8019,2178207,3947,19776
256,Brooklyn,Williamsburg (South Side),9994,1796884,2315,16573
257,Brooklyn,Windsor Terrace,5461,307320,199,873
258,Queens,Woodhaven,7120,653621,505,785
259,Bronx,Woodlawn/Wakefield,8253,633276,142,773
260,Queens,Woodside,12371,873879,11219,8705
261,Manhattan,World Trade Center,7586,851070,23,199981
262,Manhattan,Yorkville East,5914,843281,156,533185
263,Manhattan,Yorkville West,10531,1185807,1092,836367
264,Unknown,N/A,38,1,2818,479113
265,N/A,Outside of NYC,51085,10624,1049,85145
